P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
Kepler-1078 b,Transit,Kepler,2016,2018-09-25,4.27,M-R relationship,1.9,3.0072524,0.0388,0.0,70.4,,Kepler-1078,,,,293.20057,43.050038,19h32m48.14s,+43d03m00.14s,15.703,2481.71,5612.0,0.94,0.92,-0.01,4.37,0.5,4.49,1.4991226,2.2473684,1.1828255,0.62253973,0.00064276218,0.0388,0.0388,0.0388,0.0388,2100.5671,1724.582,1947.6444,Superterran,G,19 32 48.14,+43 03 00.14,3.1622777,4.8013544,1.4941837,0.44807189,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1093 c,Transit,Kepler,2016,2019-04-16,4.5,M-R relationship,1.96,89.722292,0.394,0.0,89.02,,Kepler-1093,,,,284.97803,41.420208,18h59m54.73s,+41d25m12.75s,13.781,1072.88,6166.0,1.13,1.2,-0.01,2.95,0.46,4.33,1.5152288,2.2959184,1.1713869,0.59764639,0.0062468272,0.394,0.394,0.394,0.394,18.578368,528.87325,597.27923,Superterran,F,18 59 54.73,+41 25 12.75,2.8840315,4.5852579,4.1153192,0.44622578,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1101 b,Transit,Kepler,2016,2019-04-16,6.66,M-R relationship,2.47,81.315106,0.3483,0.0,89.99,,Kepler-1101,,,,294.56935,45.671162,19h38m16.65s,+45d40m16.18s,15.156,742.473,5614.0,0.94,0.91,-0.04,4.27,-0.351,4.5,1.6420585,2.6963563,1.0916422,0.44196041,0.0066914594,0.3483,0.3483,0.3483,0.3483,3.67361,352.67362,398.28943,Superterran,G,19 38 16.65,+45 40 16.18,0.44565625,1.8024522,1.4993265,0.44634647,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-111 b,Transit,Kepler,2014,2019-04-16,3.12,M-R relationship,1.58,3.341815,0.046,0.0,86.96,,Kepler-111,,,,291.65316,44.688261,19h26m36.76s,+44d41m17.74s,13.543,657.223,5952.0,1.17,1.16,0.28,2.3,0.195,4.38,1.4052343,1.9746835,1.2497997,0.79101248,0.00063806657,0.046,0.046,0.046,0.046,740.43056,1328.8342,1500.7094,Terran,G,19 26 36.76,+44 41 17.74,1.5667511,3.379588,2.8825052,0.43308662,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-111 c,Transit,Kepler,2014,2019-04-16,42.0,M-R relationship,7.3,224.78461,0.761,0.0,89.71,,Kepler-111,,,,291.65316,44.688261,19h26m36.76s,+44d41m17.74s,13.543,657.223,5952.0,1.17,1.16,0.28,2.3,0.195,4.38,2.3986297,5.7534247,0.78814036,0.10796443,0.025110636,0.761,0.761,0.761,0.761,2.705395,326.7062,,Neptunian,G,19 26 36.76,+44 41 17.74,1.5667511,3.379588,2.8825052,0.43308662,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1106 b,Transit,Kepler,2016,2019-04-16,3.36,M-R relationship,1.65,1.2527522,0.0239,0.0,84.54,,Kepler-1106,,,,291.14516,44.062472,19h24m34.84s,+44d03m44.90s,14.863,1090.7,6104.0,1.11,1.17,0.0,3.09,0.159,4.35,1.4270121,2.0363636,1.2341598,0.74797562,0.0003458241,0.0239,0.0239,0.0239,0.0239,2524.6676,1805.7215,2039.2786,Superterran,F,19 24 34.84,+44 03 44.90,1.4421154,3.2423789,3.677554,0.44701858,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1103 b,Transit,Kepler,2016,2019-04-16,5.77,M-R relationship,2.27,19.79192,0.1473,0.0,86.29,,Kepler-1103,,,,287.38213,49.452425,19h09m31.71s,+49d27m08.73s,14.294,1331.92,6092.0,1.11,1.15,-0.01,3.31,0.522,4.36,1.5943181,2.5418502,1.1197578,0.49328538,0.0025523424,0.1473,0.1473,0.1473,0.1473,153.31848,896.39275,1012.3348,Superterran,F,19 09 31.71,+49 27 08.73,3.3265955,4.9245184,3.6025138,0.45217217,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1105 b,Transit,Kepler,2016,2019-04-16,4.7,M-R relationship,2.01,4.4215722,0.0471,0.0,84.34,,Kepler-1105,,,,281.11176,42.45497,18h44m26.82s,+42d27m17.89s,15.315,318.004,4299.0,0.71,0.68,0.28,8.71,-0.945,4.62,1.5291529,2.3383085,1.1633375,0.5787749,0.00088461166,0.0471,0.0471,0.0471,0.0471,51.163257,681.30136,769.42283,Superterran,K,18 44 26.82,+42 27 17.89,0.11350108,0.90962788,0.14260276,0.45776998,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1107 b,Transit,Kepler,2016,2018-09-25,2.36,M-R relationship,1.34,0.57103852,0.0126,0.0,66.6,,Kepler-1107,,,,291.04993,39.141674,19h24m11.98s,+39d08m30.03s,14.315,428.798,5268.0,0.86,0.82,0.01,4.47,-0.417,4.55,1.3270999,1.761194,1.3143239,0.98083873,0.00017645216,0.0126,0.0126,0.0126,0.0126,2411.3426,1785.1078,2015.9987,Terran,K,19 24 11.98,+39 08 30.03,0.38282474,1.6705665,0.80327257,0.43662531,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1108 b,Transit,Kepler,2016,2019-04-16,2.73,M-R relationship,1.46,4.5100575,0.0511,0.0,89.59,,Kepler-1108,,,,296.0423,45.98514,19h44m10.15s,+45d59m06.50s,15.132,767.701,5406.0,0.88,0.84,-0.09,4.17,-0.258,4.54,1.3674293,1.869863,1.2807281,0.87721102,0.00074547453,0.0511,0.0511,0.0511,0.0511,211.42591,971.38023,1097.0213,Terran,G,19 44 10.15,+45 59 06.50,0.55207744,2.0061517,1.0260187,0.43491902,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1115 b,Transit,Kepler,2016,2019-12-02,3.53,M-R relationship,1.7,23.554073,0.2134,0.0,88.34,,Kepler-1115,,,,294.99177,40.144396,19h39m58.03s,+40d08m39.83s,11.983,983.245,8480.0,1.6,1.73,-0.51,1.12,1.254,4.17,1.4409964,2.0764706,1.2214533,0.71850193,0.0027788466,0.2134,0.2134,0.2134,0.2134,394.1043,1135.0174,1281.8237,Superterran,A,19 39 58.03,+40 08 39.83,17.947336,11.43836,246.18845,0.42638426,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1119 b,Transit,Kepler,2016,2019-04-16,4.35,M-R relationship,1.92,8.3265153,0.0812,0.0,84.08,,Kepler-1119,,,,297.0191,44.327494,19h48m04.58s,+44d19m38.98s,15.296,1757.23,6083.0,1.11,1.17,0.03,3.09,0.486,4.35,1.5051993,2.265625,1.180013,0.61459012,0.0012805505,0.0812,0.0812,0.0812,0.0812,464.39543,1182.5559,1335.5111,Superterran,F,19 48 04.58,+44 19 38.98,3.0619634,4.7245861,3.5472401,0.44701858,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1139 b,Transit,Kepler,2016,2019-04-16,1.81,M-R relationship,1.19,0.81316672,0.0165,0.0,89.23,,Kepler-1139,,,,287.9456,39.230528,19h11m46.94s,+39d13m49.90s,14.229,495.156,5550.0,0.94,0.91,0.05,4.47,-0.304,4.5,1.2332917,1.5210084,1.2781583,1.0740826,0.00020533017,0.0165,0.0165,0.0165,0.0165,1824.0306,1664.7834,1880.1113,Terran,G,19 11 46.94,+39 13 49.90,0.49659232,1.9026713,1.3432123,0.44976471,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1141 b,Transit,Kepler,2016,2019-04-16,0.477,M-R relationship,0.82,2.3445119,0.0345,0.0,84.08,,Kepler-1141,,,,290.54368,47.725907,19h22m10.48s,+47d43m33.27s,12.403,393.642,5791.0,1.01,1.07,0.04,6.17,0.155,4.38,0.7626974,0.58170732,0.70939917,0.86512094,0.0002687427,0.0345,0.0345,0.0345,0.0345,1200.499,1499.4782,1693.425,Terran,G,19 22 10.48,+47 43 33.27,1.428894,3.2274815,2.0814067,0.48608568,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1142 b,Transit,Kepler,2016,2019-04-16,2.76,M-R relationship,1.47,18.302725,0.1343,0.0,86.37,,Kepler-1142,,,,292.71448,44.082282,19h30m51.48s,+44d04m56.21s,14.505,1273.51,5685.0,0.97,0.96,0.02,5.37,0.437,4.46,1.3702376,1.877551,1.2772456,0.86887455,0.0019035913,0.1343,0.1343,0.1343,0.1343,151.65194,893.94686,1009.5725,Terran,G,19 30 51.48,+44 04 56.21,2.7352687,4.4654349,1.7116642,0.46860954,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-114 c,Transit,Kepler,2013,2019-04-16,2.8,Mass,1.6,8.041,0.06482,0.0,89.36,,Kepler-114,,,M0 V,294.12148,48.349798,19h36m29.16s,+48d20m59.27s,13.961,259.533,4660.0,0.56,0.54,0.229,2.69,-0.685,4.72,1.3228757,1.75,1.09375,0.68359375,0.0011087091,0.06482,0.06482,0.06482,0.06482,49.156612,674.52057,761.76499,Terran,M,19 36 29.16,+48 20 59.27,0.20653802,1.2270543,0.24497386,0.34773325,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1122 b,Transit,Kepler,2016,2019-04-16,4.82,M-R relationship,2.04,42.191736,0.2315,0.0,89.92,,Kepler-1122,,,,288.28058,46.340875,19h13m07.34s,+46d20m27.15s,15.405,1230.42,5544.0,0.92,0.89,-0.03,4.68,0.059,4.51,1.5371223,2.3627451,1.1582084,0.56774921,0.0040218202,0.2315,0.2315,0.2315,0.2315,21.374601,547.73969,618.58591,Superterran,G,19 13 07.34,+46 20 27.15,1.1455129,2.8897732,1.3199413,0.44998195,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1143 b,Transit,Kepler,2016,2019-04-16,3.43,M-R relationship,1.67,2.8889048,0.0371,0.0,85.23,,Kepler-1143,,,,287.30277,39.28964,19h09m12.67s,+39d17m22.70s,15.493,555.189,5053.0,0.81,0.77,-0.06,4.79,-0.623,4.58,1.4331407,2.0538922,1.2298756,0.73645244,0.00060038365,0.0371,0.0371,0.0371,0.0371,173.08211,923.98039,1043.4907,Superterran,K,19 09 12.67,+39 17 22.70,0.23823195,1.3178433,0.54422242,0.43295467,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1186 b,Transit,Kepler,2016,2018-09-25,5.6,M-R relationship,2.23,16.076776,0.1281,0.0,89.89,,Kepler-1186,,,,288.47963,47.101744,19h13m55.11s,+47d06m06.28s,15.367,1337.25,5635.0,0.95,0.93,0.0,4.47,0.064,4.49,1.58468,2.5112108,1.1261035,0.50497914,0.0023146705,0.1281,0.1281,0.1281,0.1281,70.615777,738.45689,833.97101,Superterran,G,19 13 55.11,+47 06 06.28,1.1587774,2.9064561,1.5598995,0.451354,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-156 b,Transit,Kepler,2014,2019-04-16,5.9,M-R relationship,2.3,4.973456,0.054,0.0,86.75,,Kepler-156,,,,290.29642,37.749427,19h21m11.14s,+37d44m57.94s,14.339,443.483,5094.0,0.84,0.81,0.254,5.37,-0.44,4.55,1.6016296,2.5652174,1.1153119,0.48491822,0.0010344351,0.054,0.054,0.054,0.054,124.51236,850.94762,961.01162,Superterran,K,19 21 11.14,+37 44 57.94,0.36307805,1.6269109,0.59106062,0.44666334,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1560 b,Transit,Kepler,2016,2019-04-16,0.64,M-R relationship,0.89,3.0319574,0.0397,0.0,88.74,,Kepler-1560,,,,292.7846,43.21601,19h31m08.30s,+43d12m57.64s,13.505,502.497,5815.0,1.02,1.02,0.04,4.17,-0.034,4.43,0.8479983,0.71910112,0.80797879,0.90784134,0.00033996616,0.0397,0.0397,0.0397,0.0397,586.70392,1253.7313,1415.8925,Terran,G,19 31 08.30,+43 12 57.64,0.92469817,2.5963532,2.1761561,0.45685765,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1562 b,Transit,Kepler,2016,2019-04-16,12.3,M-R relationship,3.55,64.273775,0.3308,0.0,87.44,,Kepler-1562,,,,294.45566,46.743535,19h37m49.36s,+46d44m36.73s,15.303,2060.72,5760.0,1.02,1.05,0.11,4.79,0.491,4.41,1.8613943,3.4647887,0.97599683,0.27492868,0.0075878557,0.3308,0.3308,0.3308,0.3308,28.305381,587.57994,,Neptunian,G,19 37 49.36,+46 44 36.73,3.0974193,4.7518614,1.9799469,0.46753502,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-157 c,Transit,Kepler,2014,2019-04-16,5.65,M-R relationship,2.24,13.5405,0.11,0.0,89.56,,Kepler-157,,,,291.09723,38.875605,19h24m23.33s,+38d52m32.18s,14.206,773.713,5774.0,1.02,1.04,-0.059,4.07,0.091,4.39,1.5881818,2.5223214,1.1260364,0.5026948,0.001946827,0.11,0.11,0.11,0.11,101.90949,809.38167,914.06942,Superterran,G,19 24 23.33,+38 52 32.18,1.2331048,2.9982218,2.0281459,0.45501317,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1182 b,Transit,Kepler,2016,2019-04-16,6.39,M-R relationship,2.41,11.173946,0.0981,0.0,89.94,,Kepler-1182,,,,296.30799,43.821371,19h45m13.92s,+43d49m16.93s,15.742,1545.39,5924.0,1.04,1.05,0.01,3.39,0.256,4.41,1.6283281,2.6514523,1.1001877,0.45650941,0.0017972566,0.0981,0.0981,0.0981,0.0981,187.35358,942.46495,1064.3661,Superterran,G,19 45 13.92,+43 49 16.93,1.8030177,3.6254654,2.6413621,0.44422456,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1184 b,Transit,Kepler,2016,2019-04-16,7.65,M-R relationship,2.68,53.599104,0.2863,0.0,89.2,,Kepler-1184,,,,291.28203,46.965951,19h25m07.69s,+46d57m57.43s,14.99,1157.84,5983.0,1.05,1.07,-0.04,3.55,0.065,4.41,1.6895199,2.8544776,1.0651036,0.39742671,0.0055517595,0.2863,0.2863,0.2863,0.2863,14.169591,494.2413,,Neptunian,G,19 25 07.69,+46 57 57.43,1.1614486,2.9098042,2.9324744,0.44908236,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1209 b,Transit,Kepler,2016,2019-04-16,2.89,M-R relationship,1.51,25.369116,0.18,0.0,87.87,,Kepler-1209,,,,287.58494,49.154733,19h10m20.38s,+49d09m17.04s,12.554,505.531,6210.0,1.23,1.38,0.12,3.09,0.343,4.24,1.3834404,1.9139073,1.2674883,0.8393962,0.0023936207,0.18,0.18,0.18,0.18,67.991558,731.49853,826.11264,Terran,F,19 10 20.38,+49 09 17.04,2.2029265,4.0074099,4.5657095,0.4625794,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1198 b,Transit,Kepler,2016,2019-04-16,2.76,M-R relationship,1.47,7.6847716,0.0732,0.0,89.89,,Kepler-1198,,,,288.83397,44.838198,19h15m20.15s,+44d50m17.51s,14.986,743.03,5517.0,0.93,0.9,0.03,4.68,-0.232,4.5,1.3702376,1.877551,1.2772456,0.86887455,0.0010522163,0.0732,0.0732,0.0732,0.0732,109.39005,823.84246,930.4006,Terran,G,19 15 20.15,+44 50 17.51,0.58613816,2.0671108,1.264662,0.45160644,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1572 b,Transit,Kepler,2016,2019-04-16,0.779,M-R relationship,0.94,5.4954862,0.0614,0.0,89.31,,Kepler-1572,,,,281.89733,46.722706,18h47m35.36s,+46d43m21.74s,13.879,946.602,5618.0,0.97,0.95,0.08,4.79,0.373,4.47,0.91034247,0.8287234,0.88162064,0.9378943,0.00057087654,0.0614,0.0614,0.0614,0.0614,626.12819,1274.2819,1439.1012,Terran,G,18 47 35.36,+46 43 21.74,2.3604782,4.1482389,1.5255577,0.45976722,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1573 b,Transit,Kepler,2016,2019-04-16,1.87,M-R relationship,1.2,2.6157554,0.0364,0.0,87.98,,Kepler-1573,,,,292.98831,49.484966,19h31m57.20s,+49d29m05.88s,15.304,1455.36,5808.0,1.01,1.0,0.02,4.07,0.169,4.44,1.2483322,1.5583333,1.2986111,1.0821759,0.00044708837,0.0364,0.0364,0.0364,0.0364,1113.7744,1471.6313,1661.9763,Terran,G,19 31 57.20,+49 29 05.88,1.4757065,3.2799239,2.1430926,0.45352131,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1230 b,Transit,Kepler,2016,2019-04-16,7.8,M-R relationship,2.71,9.9566154,0.0921,0.0,83.62,,Kepler-1230,,,,283.26451,41.711453,18h53m03.48s,+41d42m41.23s,15.628,1364.22,5961.0,1.06,1.08,0.01,3.47,0.096,4.4,1.6965343,2.8782288,1.062077,0.39191035,0.0017918753,0.0921,0.0921,0.0921,0.0921,147.05532,887.09452,,Neptunian,G,18 53 03.48,+41 42 41.23,1.2473835,3.0155308,2.8326429,0.44879537,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1212 b,Transit,Kepler,2016,2019-04-16,5.22,M-R relationship,2.14,12.941301,0.1082,0.0,89.93,,Kepler-1212,,,,296.85341,50.03732,19h47m24.82s,+50d02m14.35s,15.133,1316.57,6051.0,1.1,1.15,0.03,3.24,0.211,4.36,1.5618106,2.4392523,1.1398375,0.53263436,0.0018187449,0.1082,0.1082,0.1082,0.1082,138.84987,874.45221,987.55636,Superterran,F,19 47 24.82,+50 02 14.35,1.6255488,3.4424193,3.3473777,0.44920705,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1254 b,Transit,Kepler,2016,2019-04-16,3.02,M-R relationship,1.55,9.9911331,0.0833,0.0,88.16,,Kepler-1254,,,,285.17332,48.77001,19h00m41.60s,+48d46m12.04s,15.541,622.818,4985.0,0.78,0.75,-0.1,5.62,-0.572,4.59,1.3958464,1.9483871,1.2570239,0.81098318,0.0013083814,0.0833,0.0833,0.0833,0.0833,38.610906,635.00509,717.13847,Terran,K,19 00 41.60,+48 46 12.04,0.26791683,1.3975384,0.47816407,0.43908212,0,0,Hot,0,Draco,Dra,Dragon
Kepler-1259 b,Transit,Kepler,2016,2019-04-16,2.63,M-R relationship,1.43,0.66308526,0.0141,0.0,71.76,,Kepler-1259,,,,297.84146,46.967629,19h51m21.95s,+46d58m03.46s,15.556,805.562,5053.0,0.8,0.77,-0.07,5.25,-0.333,4.58,1.3561566,1.8391608,1.2861265,0.89938913,0.00020971345,0.0141,0.0141,0.0141,0.0141,2336.4784,1771.0881,2000.1657,Terran,K,19 51 21.95,+46 58 03.46,0.46451528,1.8401947,0.54197354,0.43780567,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1489 b,Transit,Kepler,2016,2019-04-16,3.78,M-R relationship,1.77,82.294751,0.3679,0.0,89.87,,Kepler-1489,,,,281.2958,44.465406,18h45m10.99s,+44d27m55.46s,14.983,1283.05,5655.0,0.93,0.9,-0.13,4.07,0.198,4.51,1.4613669,2.1355932,1.2065498,0.68166658,0.0058728826,0.3679,0.3679,0.3679,0.3679,11.655755,470.68983,531.5702,Superterran,G,18 45 10.99,+44 27 55.46,1.5776113,3.3912809,1.6030193,0.44121631,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1214 b,Transit,Kepler,2016,2018-09-25,6.17,M-R relationship,2.36,18.826343,0.128,0.0,89.82,,Kepler-1214,,,,285.14271,49.800657,19h00m34.25s,+49d48m02.36s,15.459,729.227,5130.0,0.85,0.8,0.05,4.68,-0.419,4.57,1.6169127,2.6144068,1.1077995,0.46940656,0.0024790425,0.128,0.128,0.128,0.128,23.258412,559.42868,631.78678,Superterran,K,19 00 34.25,+49 48 02.36,0.38106582,1.6667243,0.63125595,0.43826702,0,0,Hot,0,Draco,Dra,Dragon
Kepler-150 d,Transit,Kepler,2014,2019-04-16,8.2,M-R relationship,2.79,12.56093,0.104,0.0,89.95,,Kepler-150,,,,288.2341,40.520897,19h12m56.18s,+40d31m15.23s,15.161,891.092,5560.0,0.94,0.94,-0.02,4.57,-0.161,4.47,1.7143711,2.9390681,1.0534294,0.37757327,0.0021414795,0.104,0.104,0.104,0.104,63.81655,720.0009,,Neptunian,G,19 12 56.18,+40 31 15.23,0.6902398,2.2431781,1.3664881,0.45142626,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-1500 b,Transit,Kepler,2016,2019-04-16,1.87,M-R relationship,1.2,15.03301,0.1236,0.0,84.02,,Kepler-1500,,,,288.88347,39.744655,19h15m32.03s,+39d44m40.76s,14.728,1217.82,5845.0,1.0,1.0,-0.05,4.07,0.275,4.44,1.2483322,1.5583333,1.2986111,1.0821759,0.0015231789,0.1236,0.1236,0.1236,0.1236,123.29999,848.86861,958.66371,Terran,G,19 15 32.03,+39 44 40.76,1.8836491,3.7056446,2.2761813,0.45201957,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-148 c,Transit,Kepler,2014,2019-04-16,12.6,M-R relationship,3.6,4.180043,0.05,0.0,89.8,,Kepler-148,,,,289.78616,46.858818,19h19m08.68s,+46d51m31.74s,15.398,791.163,5272.0,0.86,0.85,0.14,11.2,-0.383,4.55,1.8708287,3.5,0.97222222,0.27006173,0.0012238061,0.05,0.05,0.05,0.05,165.59987,913.82852,,Neptunian,K,19 19 08.68,+46 51 31.74,0.41399967,1.7372558,0.80881167,0.50885494,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1736 b,Transit,Kepler,2021,2021-12-05,14.3,M-R relationship,3.877,37.810299,0.2188,0.0,89.9,,Kepler-1736,,,,289.7767,38.262237,19h19m06.41s,+38d15m44.05s,14.808,1430.0,6085.0,0.98,0.97,-0.28,1.7,0.402,4.45,1.9205257,3.6884189,0.95135901,0.24538535,0.0053481374,0.2188,0.2188,0.2188,0.2188,52.711499,686.39807,,Neptunian,F,19 19 06.41,+38 15 44.05,2.5234808,4.2890762,3.414684,0.38818762,0,0,Hot,0,Lyra,Lyr,Lyre
Kepler-154 e,Transit,Kepler,2016,2019-04-16,2.86,M-R relationship,1.5,3.9327647,0.047,0.0,87.81,,Kepler-154,,,,289.78054,49.896562,19h19m07.33s,+49d53m47.62s,14.646,915.212,5769.0,0.98,0.98,-0.04,4.47,0.033,4.45,1.380821,1.9066667,1.2711111,0.84740741,0.00067183572,0.047,0.047,0.047,0.047,488.4322,1197.5696,1352.4667,Terran,G,19 19 07.33,+49 53 47.62,1.0789467,2.8045537,1.9841625,0.45605594,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1484 b,Transit,Kepler,2016,2019-04-16,5.1,M-R relationship,2.11,30.454914,0.1939,0.0,86.35,,Kepler-1484,,,,292.68427,38.12626,19h30m44.23s,+38d07m34.54s,15.351,2879.83,5730.0,0.94,0.92,-0.17,3.98,0.796,4.49,1.5546902,2.4170616,1.1455268,0.54290371,0.0034080856,0.1939,0.1939,0.1939,0.1939,166.28167,914.76767,1033.0863,Superterran,G,19 30 44.23,+38 07 34.54,6.2517269,6.7509325,1.8299781,0.44114494,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1519 b,Transit,Kepler,2016,2019-04-16,39.6,M-R relationship,7.06,240.79894,0.7655,0.0,89.6,,Kepler-1519,,,,296.66794,49.461777,19h46m40.31s,+49d27m42.40s,15.124,1441.63,5644.0,0.94,0.91,-0.07,3.98,0.326,4.5,2.3683465,5.6090652,0.79448515,0.11253331,0.02664319,0.7655,0.7655,0.7655,0.7655,3.6150109,351.25872,,Neptunian,G,19 46 40.31,+49 27 42.40,2.1183611,3.9297395,1.5786278,0.44114494,0,0,Hot,0,Cygnus,Cyg,Swan
Kepler-1532 b,Transit,Kepler,2016,2019-04-16,2.39,M-R relationship,1.35,1.0936636,0.0206,0.0,88.29,,Kepler-1532,,,,296.90278,41.198142,19h47m36.67s,+41d11m53.31s,15.293,798.246,5559.0,0.91,0.88,-0.1,4.27,-0.141,4.51,1.3305527,1.7703704,1.3113855,0.97139664,0.00028429636,0.0206,0.0206,0.0206,0.0206,1703.1997,1636.5003,1848.17,Terran,G,19 47 36.67,+41 11 53.31,0.7227698,2.2954285,1.3494731,0.44154667,0,0,Hot,0,Cygnus,Cyg,Swan
GJ 143 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2019,2023-11-06,22.7,Mass,2.61,35.61253,0.1915,0.188,89.33,98.0,GJ 143,HD 21749,HIP 16069,K4.5,51.750188,-63.500166,03h27m00.05s,-63d30m00.60s,8.08,16.32,4640.0,0.73,0.7,0.003,3.8,-0.686,4.61,2.9491216,8.697318,3.3323058,1.2767455,0.0048911508,0.19488419,0.155498,0.227502,0.19235603,5.7210561,391.33331,,Neptunian,K,03 27 00.05,-63 30 00.60,0.20606299,1.2256424,0.25856853,0.40237383,0,0,Hot,0,Reticulum,Ret,Net
HD 23472 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2019,2023-12-04,8.32,Mass,2.0,17.667087,0.1162,0.072,88.93,114.0,HD 23472,HD 23472,HIP 17264,K4 V,55.459031,-62.767267,03h41m50.17s,-62d46m02.16s,9.73,39.0341,4684.0,0.67,0.71,-0.2,,-0.625,4.53,2.0396078,4.16,2.08,1.04,0.0024977877,0.11650119,0.1078336,0.1245664,0.11627543,17.608257,521.32162,588.75086,Superterran,K,03 41 50.17,-62 46 02.16,0.23713737,1.3148123,0.27101219,0.40368511,0,0,Hot,0,Reticulum,Ret,Net
AU Mic b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,2023-11-29,20.12,Mass,3.957,8.4629991,0.0645,0.186,89.5,88.528,AU Mic,HD 197481,HIP 102409,M1,311.29114,-31.34245,20h45m09.87s,-31d20m32.82s,8.81,9.7221,3665.0,0.5,0.82,0.12,0.019,-0.99,4.4,2.2549191,5.0846601,1.2849785,0.32473554,0.0017996527,0.065615721,0.052503,0.076497,0.064782149,25.033757,566.07247,,Neptunian,M,20 45 09.87,-31 20 32.82,0.1023293,0.86370168,0.04269002,0.14666971,0,0,Hot,0,Microscopium,Mic,Microscope
AU Mic c,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,2023-11-29,9.6,Mass,3.24,18.858991,0.1101,0.00338,89.227,223.2844,AU Mic,HD 197481,HIP 102409,M1,311.29114,-31.34245,20h45m09.87s,-31d20m32.82s,8.81,9.7221,3665.0,0.5,0.82,0.12,0.019,-0.99,4.4,1.7213259,2.962963,0.91449474,0.28225146,0.0029390202,0.11010063,0.10972786,0.11047214,0.11010016,8.4416597,434.21592,,Neptunian,M,20 45 09.87,-31 20 32.82,0.1023293,0.86370168,0.04269002,0.14666971,0,0,Hot,0,Microscopium,Mic,Microscope
