P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
gam Lib b,Radial Velocity,Okayama Astrophysical Observatory,2018,2023-09-19,357.87479,Msini,13.7,414.88,1.319,0.16,,-169.7,gam Lib,HD 138905,HIP 76333,K0 III,233.88186,-14.789502,15h35m31.65s,-14d47m22.21s,3.90672,47.4017,4879.0,1.78,12.38,-0.27,2.82,1.897,2.5,5.1109928,26.122247,1.9067334,0.13917762,0.06492516,1.3358832,1.10796,1.53004,1.3232567,45.934794,659.97527,,Jovian,K,15 35 31.65,-14 47 22.21,78.886012,23.980805,0.52472316,0.51531529,0,0,Hot,0,Libra,Lib,Scales
HD 113337 c,Radial Velocity,Multiple Observatories,2022,2023-06-12,6299.6769,Mass,12.1,5429.9348,6.805,0.164,57.478,20.215,HD 113337,HD 113337,HIP 63584,F6 V,195.44385,63.610328,13h01m46.52s,+63d36m37.18s,6.02078,36.18,6667.33,1.41,1.53,0.07,0.15,0.62,4.21,22.817416,520.63445,43.027641,3.5560034,0.93724409,6.8965136,5.68898,7.92102,6.8280829,0.091256564,139.29974,,Jovian,F,13 01 46.52,+63 36 37.18,4.1686938,5.5126925,10.48339,0.2924016,0,0,Cold,0,Draco,Dra,Dragon
HD 28109 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,2023-12-04,7.943,Mass,4.23,56.00819,0.308,0.1203,89.543,,HD 28109,HD 28109,,F8/G0 V,65.238306,-68.102688,04h20m57.19s,-68d06m09.68s,9.42,139.611,6120.0,1.26,1.45,0.0,1.1,0.456,4.13,1.3703203,1.8777778,0.4439191,0.10494541,0.0050065885,0.3102287,0.2709476,0.3450524,0.30855984,30.34339,596.25222,,Neptunian,F,04 20 57.19,-68 06 09.68,2.8575905,4.5641905,3.9431758,0.39256701,0,0,Hot,0,Hydrus,Hyi,Little Water Snake
TOI-238 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2024,2024-02-16,3.4,Mass,1.402,1.2730991,0.02118,0.18,84.6,,TOI-238,,,K2V,349.23108,-18.606646,23h16m55.46s,-18d36m23.93s,10.748,80.5407,5059.0,0.79,0.73,-0.114,4.3,-0.471,4.58,1.5572755,2.425107,1.7297482,1.2337719,0.00028258059,0.021523116,0.0173676,0.0249924,0.021266705,766.12592,1331.9858,1504.2687,Terran,K,23 16 55.46,-18 36 23.93,0.33806484,1.5698703,0.54529791,0.4217081,0,0,Hot,0,Aquarius,Aqr,Water Carrier
TOI-4562 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,2024-02-16,732.0,Mass,12.53,225.11781,0.768,0.76,89.06,60.0,TOI-4562,,,F7 V,112.01006,-63.517779,07h28m02.41s,-63d31m04.00s,12.14,339.605,6096.0,1.19,1.15,0.08,0.7,0.253,4.39,7.6432841,58.419792,4.6623937,0.37209846,0.015679989,0.9897984,0.18432,1.35168,0.83834061,4.6710617,321.83958,,Jovian,F,07 28 02.41,-63 31 04.00,1.7906059,3.6129651,3.7124856,0.35720991,0,0,Hot,0,Carina,Car,Keel
HIP 12961 b,Radial Velocity,La Silla Observatory,2010,2018-09-04,114.4188,Msini,13.2,57.435,0.25,0.17,,272.0,HIP 12961,,HIP 12961,M0,41.680075,-23.086005,02h46m43.22s,-23d05m09.62s,10.25,23.371,3901.0,0.69,0.65,-0.14,,-1.003,4.65,2.9441622,8.6680909,0.65667355,0.049747996,0.011403009,0.2536125,0.2075,0.2925,0.25091181,1.6124565,285.48886,,Jovian,M,02 46 43.22,-23 05 09.62,0.099311605,0.85087108,0.071291305,0.40766256,0,0,Hot,0,Eridanus,Eri,River
HD 11755 b,Radial Velocity,Bohyunsan Optical Astronomical Observatory,2015,2018-09-04,1789.3829,Msini,12.8,433.70001,1.09,0.19,,155.3,HD 11755,HD 11755,HIP 9242,G5,29.707836,73.152137,01h58m49.88s,+73d09m07.69s,6.88269,235.045,4312.0,0.72,20.58,-0.74,10.2,2.169,1.67,11.823516,139.79554,10.921526,0.85324426,0.11962456,1.1096745,0.8829,1.2971,1.0949779,126.51179,848.4906,,Jovian,G,01 58 49.88,+73 09 07.69,147.57065,32.799239,0.14650491,0.47217432,0,0,Hot,0,Cassiopeia,Cas,Cassiopeia
HD 29985 b,Radial Velocity,Multiple Observatories,2022,2023-06-12,1739.4749,Mass,12.8,20608.14,13.39,0.261,52.658,89.414,HD 29985,HD 29985,,,70.521659,-33.92107,04h42m05.20s,-33d55m15.85s,9.98,31.2707,4678.0,0.75,0.57,-0.22,,-0.846,4.79,11.657464,135.89647,10.616912,0.82944625,1.3101748,13.84607,9.89521,16.88479,13.506651,0.00082368107,42.591788,,Jovian,K,04 42 05.20,-33 55 15.85,0.14256076,1.0194449,0.2785101,0.419152,0,0,Cold,0,Caelum,Cae,Chisel
HD 115954 b,Radial Velocity,Haute-Provence Observatory,2021,2023-06-12,2685.65,Mass,12.6,3700.0,5.0,0.487,79.0,185.6,HD 115954,HD 115954,HIP 65042,G0 V,199.98537,38.369138,13h19m56.49s,+38d22m08.90s,8.34,87.6437,5957.0,1.18,1.21,0.34,,0.481,4.15,14.599549,213.14683,16.916415,1.3425726,0.33749066,5.5929225,2.565,7.435,5.1612576,0.13862636,147.90128,,Jovian,G,13 19 56.49,+38 22 08.90,3.0269134,4.6974673,2.9156322,0.48750431,0,0,Cold,0,Canes Venatici,CVn,Hunting Dogs
HIP 97233 b,Radial Velocity,Multiple Observatories,2014,2023-06-12,6098.1736,Mass,12.1,1062.2651,2.491,0.63,86.083,249.249,HIP 97233,HD 186641,HIP 97233,K0/1 III,296.42212,-0.6968794,19h45m41.31s,-00d41m48.77s,7.34,102.275,5020.0,1.81,5.34,0.29,,1.204,3.26,22.449528,503.98129,41.651347,3.44226,0.1382084,2.985339,0.92167,4.06033,2.6346003,3.3193869,313.86461,,Jovian,K,19 45 41.31,-00 41 48.77,15.99558,10.798508,0.67228341,0.56222565,0,0,Hot,0,Aquila,Aql,Eagle
